idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,3cfedf6a-e5ec-4e33-9ad3-933cdc369629,1044026396,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-881,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Tamanrasset (aux alentours de),NA,NA,NA,NA
yes,yes,40e8449f-8dc1-415e-a106-026281341ff6,1044026385,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-870,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,"Hassi Fokra, Béni-Abbès",NA,NA,NA,NA
yes,yes,45b24b43-fa12-4490-a881-e3a438046cc2,1268742625,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-749(4),"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Beni-Abbès,NA,Cavité creusée dans le roc,NA,NA
yes,yes,63c7740d-932a-4ac2-bfb6-acc1f5e538a9,1268742626,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-845a,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Sahara touareg,NA,NA,NA,NA
yes,yes,6684301d-df26-4347-a694-1311ed3f2695,1044026402,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-887,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Béni-Abbès,NA,Oasis,NA,NA
yes,yes,6c65b189-ce73-4cb8-ad93-c55be0780132,1044026388,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-873,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,El Goléa,NA,NA,NA,NA
yes,yes,722daf3f-bb81-481a-83c1-9f447fecfd08,1044026389,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-874,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Tamanrasset,NA,NA,NA,NA
yes,yes,76221fd3-abba-4589-a444-9c443cbe48ae,1044026401,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-886,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Béni-Abbès,NA,Oasis,NA,NA
yes,yes,78211197-9cb3-4855-838d-c61ba23d25a4,1044026397,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-882,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Tamanrasset (aux alentours de),NA,NA,NA,NA
yes,yes,790fec34-dc42-4480-b62d-407cb2141400,1044026382,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-867,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,"Hassi Fokra, Béni-Abbès",NA,NA,NA,NA
