idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
NA,yes,NA,1919693217,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.168,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693225,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.177,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693227,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.165,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693228,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.172,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693237,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.181,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693246,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.175,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693249,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.167,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693254,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.166,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693257,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.164,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693259,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.169,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693273,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.173,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693318,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.176,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919757881,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1976.423,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Egypt | Luxor | Near,NA,NA,NA,NA
NA,yes,NA,1919757937,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1976.423,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Egypt | Luxor | Near,NA,NA,NA,NA
NA,yes,NA,1919757954,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1976.423,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Egypt | Luxor | Near,NA,NA,NA,NA
NA,yes,NA,1919784628,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1902.1.17.2,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,"Luxor, Lower Egypt /",NA,NA,NA,NA
NA,yes,NA,1919793689,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.3,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919793690,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.1,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919793693,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.5,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919793704,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.2,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
