idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,61aab834-8950-4cc1-ba60-4c03d6ded766,1322017663,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171723,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,653ffac3-f402-4e49-91be-de1be1eaaf78,1318703646,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153870,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Pulo Bauwal,1908,NA,Skull; Remainder in Fluid,NA
yes,yes,6763984e-bf8e-4db0-b5fd-f73bfcfaa0a0,476840158,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13819,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija (?),1700,NA,whole animal (ethanol),NA
yes,yes,6862feb1-b838-44dc-81f5-3fac970d4619,476873030,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,12839,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,skull (dry); skin (dry),NA
yes,yes,690996b3-c45e-4cce-a770-7a341283a878,1318805349,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,154611,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Tjibodas, Mount Gede",1909,NA,Skin; Skull,NA
yes,yes,6a11423c-69ed-4cf0-a66a-064fef530f5d,1320869488,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153878,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Batu Jurong,1908,NA,Skull; Remainder in Fluid,NA
yes,yes,6b360c04-9b1d-40a7-aadb-a75d84ef64ac,1321348599,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171766,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,7201d401-0a65-4ebe-ab87-4ba90f5cac7e,1322051314,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153872,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Pulo Bauwal,1908,NA,Skull; Remainder in Fluid,NA
yes,yes,721c1190-e005-4ab7-a468-50d824a9b868,1321567151,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125176,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,729aea54-4b5c-4ea3-b1c6-3caa4b7b22bf,1321688335,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171742,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,73f7827e-7613-4ca5-a79d-a7336c89202e,1320336898,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,219373,megaderma spasma celebensis,"Megaderma spasma celebensis Shamel, 1940",indonesia,NA,NA,NA,Gimpoe,1917,NA,Fluid,NA
yes,yes,7a45e2e3-9c84-4e8f-9d7c-0af86f9e3d4f,1322058868,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,155746,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Banter, Mandiri River",1909,NA,Skin; Skull; Skeleton,NA
yes,yes,7aae5bd4-e457-4e7b-b889-84869b171efb,476840225,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13825,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,7e43e58a-4429-41ef-8ba5-1af7e120a103,1319854400,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,156203,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Pelaboean Ratoe,1909,NA,Fluid,NA
yes,yes,7f125396-9d27-4914-a464-dad3f63f2c46,1318098596,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171743,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,81183948-0532-4f75-87af-b03a9b9bc451,1319504586,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125182,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,8160ab62-4c41-453e-a820-a52533c57c7f,1317970371,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125164,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,829657e4-4bb0-41a3-bf98-0f98b12fceb8,1321414570,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,241244,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Kepahiang,1925,NA,Skull; Remainder in Fluid,NA
yes,yes,844bf734-384c-4e42-9da7-e9582d06e77c,1321949684,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125171,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,85e1c057-206e-4b73-8923-e641efc4c224,1319736844,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153867,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Pulo Bauwal, Small Islet NE Of",1908,NA,Fluid,NA
yes,yes,87366e8c-a797-435e-be52-ccd9e9855ce3,1321592352,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,155736,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Banter, Gehang",1909,NA,Skin; Skull; Skeleton,NA
