Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Rhinolophidae,Rhinolophus,,smithersi,"Taylor, Stoffberg, Monadjem, Schoeman, Bayliss & Cotterill",2012,0,"PLoS One","7(9): 19","Smithers' Horseshoe Bat"
Rhinolophidae,Rhinolophus,,stheno,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","1905: 91","Lesser Brown Horseshoe Bat"
Rhinolophidae,Rhinolophus,,subbadius,Blyth,1844,0,"J. Asiat. Soc. Bengal","13: 486","Little Nepalese Horseshoe Bat"
Rhinolophidae,Rhinolophus,,subrufus,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 283","Small Rufous Horseshoe Bat"
Rhinolophidae,Rhinolophus,,swinnyi,Gough,1908,0,"Ann. Transvaal Mus.","1: 72","Swinny's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,tatar,"Bergmans and Rozendaal",1982,0,"Bijgr.
Dierk.","52: 170","Tatar Horseshoe Bat"
Rhinolophidae,Rhinolophus,,thailandiensis,"Wu, Harada & Motokawa",2009,0,"Acta Chiropterol.","11(2): 238","Thai Horseshoe Bat"
Rhinolophidae,Rhinolophus,,thomasi,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","2: 100","Thomas's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,trifoliatus,Temminck,1834,0,"Tijdschr. Nat. Gesch. Physiol.","1: 24","Trefoil Horseshoe Bat"
Rhinolophidae,Rhinolophus,,virgo,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","1905: 88","Yellow-faced Horseshoe Bat"
Rhinolophidae,Rhinolophus,,willardi,"Kerbis Peterhans and Fahr",2013,0,"Bonn Zool Bull","62(2): 190","Willard's Horsehoe Bat"
Rhinolophidae,Rhinolophus,,xinanzhongguoensis,"Zhou, Guill&eacute;n-Servent, Lim, Eger, Wang & Jiang",2009,0,"J. Mammal.","90(1): 64","Southwestern-Chinese Horseshoe Bat"
Rhinolophidae,Rhinolophus,,yunanensis,Dobson,1872,0,"J. Asiat. Soc. Bengal","41: 336","Dobson's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,ziama,"Fahr, Vierhaus, Hutterer & Kock",2002,0,Myotis,"40: 109","Ziama Horseshoe Bat"
